,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
104,[CH2]C[C@H](C)CC,31.433238,402.24976,143.5112,178.90784,210.95728,238.2788,281.49952,313.92552,364.8448,2,18,2.197224577
412,C=CCCCC[CH]C(C)(C)C,28.394794,569.06584,249.61744,312.16824,368.02464,415.09464,488.35648,542.53928,626.7632,1,81,4.394449155
43,[CH2][C@H](C)C(C)C,27.625798,395.34616,143.26016,179.36808,211.33384,238.40432,281.1648,313.3816,364.34272,2,54,3.295836866
199,[CH2]CCCC/C=C/C(C)(C)C,26.796506,559.56816,251.83496,313.63264,368.86144,415.4712,488.2728,542.2464,626.42848,1,162,5.087596335
431,CC[CH]CCC,25.81831,412.5424,137.2352,172.1716,204.43024,232.33752,276.89712,310.4528,363.08752,1,9,2.197224577
321,C[CH]CCCC,25.261838,410.032,138.82512,172.7992,204.76496,232.58856,277.19,310.78752,363.3804,1,9,2.197224577
74,[CH2]C(C)(C)CC,21.994134,383.96568,146.48184,182.8408,214.8484,241.70968,283.75888,315.2644,365.13768,1,54,3.988984047
429,CC[CH]C(C)C,20.224302,402.62632,141.16816,175.728,207.3172,234.5132,278.06864,310.99672,363.04568,1,27,3.295836866
305,C[CH][C@H](C)CC,20.015102,401.53848,145.97976,179.7028,210.53888,237.2328,280.03512,312.50296,363.92432,2,27,2.602689685
316,C[CH]CC(C)C,17.609302,397.14528,141.67024,176.64848,208.90712,236.56336,280.28616,313.08872,364.51008,1,27,3.295836866
213,[CH2]CCCCCC,17.331014,444.29896,170.87456,209.2,245.26608,276.60424,326.81224,364.67744,424.13208,1,6,1.791759469
342,C=C(C)CCCCC[C](C)C,16.700514,598.312,245.26608,302.54504,356.56048,403.67232,478.98432,535.42648,623.12312,1,54,3.988984047
122,[CH2]CC(C)(C)C,16.454518,374.80272,144.72456,182.33872,215.14128,242.4628,284.76304,316.22672,365.80712,1,162,5.087596335
427,CC[C](C)CC,13.379278,406.894,130.37344,165.72824,198.69816,227.27488,273.04784,307.48216,361.41392,1,54,3.988984047
36,[CH2][C@@H](CC)CCC,12.803926,437.06064,174.682,213.34216,248.98984,279.78408,328.94608,366.1,424.676,2,18,2.197224577
57,[CH2][C@H](CC)CCC,12.749534,437.6464,173.13392,212.42168,248.44592,279.4912,328.8624,366.05816,424.676,2,18,2.197224577
51,[CH2][C@H](C)CCCC,12.134486,441.6212,172.67368,212.00328,248.06936,279.11464,328.56952,365.80712,424.55048,2,18,2.197224577
436,CCC[C](C)C,10.642942,402.37528,134.43192,167.9876,200.12072,228.36272,273.88464,308.23528,361.95784,1,54,3.988984047
40,[CH2][C@H](C)[C@@H](C)CC,8.14295,435.7636,167.36,209.4092,246.856,278.61256,328.56952,365.97448,424.75968,2,54,3.295836866
308,C[CH]C(C)(C)C,7.755982,382.45944,138.99248,175.56064,208.19584,235.81024,279.282,311.95904,363.50592,1,243,5.493061443
293,C[C](C)C(C)C,5.806238,394.09096,133.59512,168.48968,200.91568,229.074,274.21936,308.27712,361.79048,1,162,5.087596335
432,CC[CH]CCCC,5.73715,453.50376,163.25968,202.7148,239.65952,271.7508,323.214,361.95784,422.70952,1,9,2.197224577
439,CCC[CH]CCC,5.205782,447.14408,160.8748,201.54328,239.15744,271.58344,323.25584,362.08336,422.75136,1,18,2.890371758
